Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived,class_level_Freshman,class_level_Sophomore,class_level_Junior,class_level_Senior,class_level_Graduate,class_level_Extension,class_level_Visitor,reason_taking_class_Major,reason_taking_class_Minor,reason_taking_class_Gen_Ed,reason_taking_class_Elective,reason_taking_class_Interest,grade_expect_class_A,grade_expect_class_B,grade_expect_class_C,grade_expect_class_D,grade_expect_class_F,grade_expect_class_P,grade_expect_class_NP,learned_great_deal_course_Strongly_Disagree,learned_great_deal_course_Disagree,learned_great_deal_course_Neither_Agree_nor_Disagree,learned_great_deal_course_Agree,learned_great_deal_course_Strongly_Agree,learned_great_deal_course_Not_Applicable,many_hours_week_spend_studying_outside_class_average_01,many_hours_week_spend_studying_outside_class_average_23,many_hours_week_spend_studying_outside_class_average_45,many_hours_week_spend_studying_outside_class_average_67,many_hours_week_spend_studying_outside_class_average_89,many_hours_week_spend_studying_outside_class_average_1011,many_hours_week_spend_studying_outside_class_average_1213,many_hours_week_spend_studying_outside_class_average_1415,many_hours_week_spend_studying_outside_class_average_1617,many_hours_week_spend_studying_outside_class_average_1819,many_hours_week_spend_studying_outside_class_average_20_or_more,often_attend_course_Very_Rarely,often_attend_course_Some_of_the_Time,often_attend_course_Most_of_the_Time,course_material_intellectually_stimulating_Strongly_Disagree,course_material_intellectually_stimulating_Disagree,course_material_intellectually_stimulating_Neither_Agree_nor_Disagree,course_material_intellectually_stimulating_Agree,course_material_intellectually_stimulating_Strongly_Agree,course_material_intellectually_stimulating_Not_Applicable,assignments_promote_learning_Strongly_Disagree,assignments_promote_learning_Disagree,assignments_promote_learning_Neither_Agree_nor_Disagree,assignments_promote_learning_Agree,assignments_promote_learning_Strongly_Agree,assignments_promote_learning_Not_Applicable,required_reading_useful_Strongly_Disagree,required_reading_useful_Disagree,required_reading_useful_Neither_Agree_nor_Disagree,required_reading_useful_Agree,required_reading_useful_Strongly_Agree,required_reading_useful_Not_Applicable,course_difficult_relative_others_Strongly_Disagree,course_difficult_relative_others_Disagree,course_difficult_relative_others_Neither_Agree_nor_Disagree,course_difficult_relative_others_Agree,course_difficult_relative_others_Strongly_Agree,course_difficult_relative_others_Not_Applicable,exams_representative_course_material_Strongly_Disagree,exams_representative_course_material_Disagree,exams_representative_course_material_Neither_Agree_nor_Disagree,exams_representative_course_material_Agree,exams_representative_course_material_Strongly_Agree,exams_representative_course_material_Not_Applicable,recommend_course_overall_Yes,recommend_course_overall_No,instructor_displays_proficient_command_material_Strongly_Disagree,instructor_displays_proficient_command_material_Disagree,instructor_displays_proficient_command_material_Neither_Agree_nor_Disagree,instructor_displays_proficient_command_material_Agree,instructor_displays_proficient_command_material_Strongly_Agree,instructor_displays_proficient_command_material_Not_Applicable,instructor_well_prepared_classes_Strongly_Disagree,instructor_well_prepared_classes_Disagree,instructor_well_prepared_classes_Neither_Agree_nor_Disagree,instructor_well_prepared_classes_Agree,instructor_well_prepared_classes_Strongly_Agree,instructor_well_prepared_classes_Not_Applicable,instructors_speech_clear_audible_Strongly_Disagree,instructors_speech_clear_audible_Disagree,instructors_speech_clear_audible_Neither_Agree_nor_Disagree,instructors_speech_clear_audible_Agree,instructors_speech_clear_audible_Strongly_Agree,instructors_speech_clear_audible_Not_Applicable,instructor_explains_course_material_well_Strongly_Disagree,instructor_explains_course_material_well_Disagree,instructor_explains_course_material_well_Neither_Agree_nor_Disagree,instructor_explains_course_material_well_Agree,instructor_explains_course_material_well_Strongly_Agree,instructor_explains_course_material_well_Not_Applicable,lectures_hold_attention_Strongly_Disagree,lectures_hold_attention_Disagree,lectures_hold_attention_Neither_Agree_nor_Disagree,lectures_hold_attention_Agree,lectures_hold_attention_Strongly_Agree,lectures_hold_attention_Not_Applicable,instructor’s_lecture_style_facilitates_notetaking_Strongly_Disagree,instructor’s_lecture_style_facilitates_notetaking_Disagree,instructor’s_lecture_style_facilitates_notetaking_Neither_Agree_nor_Disagree,instructor’s_lecture_style_facilitates_notetaking_Agree,instructor’s_lecture_style_facilitates_notetaking_Strongly_Agree,instructor’s_lecture_style_facilitates_notetaking_Not_Applicable,instructor_shows_concern_students_learning_Strongly_Disagree,instructor_shows_concern_students_learning_Disagree,instructor_shows_concern_students_learning_Neither_Agree_nor_Disagree,instructor_shows_concern_students_learning_Agree,instructor_shows_concern_students_learning_Strongly_Agree,instructor_shows_concern_students_learning_Not_Applicable,instructor_promotes_appropriate_questionsdiscussion_Strongly_Disagree,instructor_promotes_appropriate_questionsdiscussion_Disagree,instructor_promotes_appropriate_questionsdiscussion_Neither_Agree_nor_Disagree,instructor_promotes_appropriate_questionsdiscussion_Agree,instructor_promotes_appropriate_questionsdiscussion_Strongly_Agree,instructor_promotes_appropriate_questionsdiscussion_Not_Applicable,instructor_accessible_outside_class_Strongly_Disagree,instructor_accessible_outside_class_Disagree,instructor_accessible_outside_class_Neither_Agree_nor_Disagree,instructor_accessible_outside_class_Agree,instructor_accessible_outside_class_Strongly_Agree,instructor_accessible_outside_class_Not_Applicable,instructor_starts_finishes_class_time_Strongly_Disagree,instructor_starts_finishes_class_time_Disagree,instructor_starts_finishes_class_time_Neither_Agree_nor_Disagree,instructor_starts_finishes_class_time_Agree,instructor_starts_finishes_class_time_Strongly_Agree,instructor_starts_finishes_class_time_Not_Applicable,instructor_effective_promoting_academic_integrity_Strongly_Disagree,instructor_effective_promoting_academic_integrity_Disagree,instructor_effective_promoting_academic_integrity_Neither_Agree_nor_Disagree,instructor_effective_promoting_academic_integrity_Agree,instructor_effective_promoting_academic_integrity_Strongly_Agree,instructor_effective_promoting_academic_integrity_Not_Applicable,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Neither_Agree_nor_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Not_Applicable,recommend_professor_overall_Yes,recommend_professor_overall_No
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),SP19,20,12,100.0%,100.0%,0.67,A(4.00),N/A,33,67,0,0,0,0,0,0,8,0,8,83,25,0,0,0,0,75,0,0,0,25,50,25,0,92,8,0,0,0,0,0,0,0,0,0,0,42,58,0,0,0,58,42,0,0,0,8,50,8,33,0,0,0,8,0,92,83,0,8,8,0,0,0,0,0,17,0,83,100,0,0,0,8,33,50,8,0,0,8,42,50,0,0,0,0,42,58,0,0,0,0,33,50,17,0,0,8,33,50,8,8,0,0,8,0,83,0,0,8,33,50,8,0,0,0,25,67,8,0,8,17,25,33,17,0,0,17,33,50,0,0,0,0,25,17,58,0,0,0,17,75,8,100,0
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),SP19,20,8,100.0%,100.0%,1.50,N/A,N/A,38,62,0,0,0,0,0,0,0,0,12,88,0,0,0,0,0,100,0,0,0,25,62,12,0,88,0,0,0,12,0,0,0,0,0,0,0,25,75,0,0,12,62,25,0,0,0,0,50,0,50,0,0,0,38,0,62,38,12,12,25,0,12,0,0,12,25,0,62,100,0,0,0,0,43,57,0,0,0,14,57,29,0,0,0,0,29,57,14,0,0,0,71,29,0,0,0,0,43,14,43,0,0,14,14,29,43,0,0,0,43,29,29,0,0,14,43,43,0,0,0,29,57,14,0,0,0,14,71,14,0,0,0,14,29,14,43,0,0,0,43,57,0,100,0
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(D),SP19,18,5,80.0%,80.0%,0.90,N/A,N/A,20,80,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,20,80,0,0,80,20,0,0,0,0,0,0,0,0,0,0,20,80,0,0,20,80,0,0,0,0,20,80,0,0,0,20,0,60,20,0,20,40,40,0,0,0,0,0,40,40,0,20,80,20,0,0,0,60,40,0,0,0,0,60,40,0,0,0,0,60,40,0,0,0,0,60,40,0,0,0,0,40,40,20,0,0,0,20,0,80,0,0,0,60,40,0,0,0,0,60,40,0,0,0,20,40,0,40,0,0,0,80,20,0,0,0,0,80,20,0,0,0,0,60,0,40,80,20
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),WI19,14,6,100.0%,100.0%,0.50,A(4.00),N/A,100,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,0,80,0,0,0,0,80,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,20,80,0,0,0,0,20,40,40,0,20,0,20,60,0,100,0,0,0,0,0,0,0,0,80,20,0,100,0,0,0,0,0,100,0,0,0,0,50,50,0,0,0,0,25,75,0,0,0,0,25,75,0,0,0,0,25,50,25,0,25,0,0,25,50,0,0,0,50,50,0,0,0,0,25,75,0,0,0,50,0,50,0,0,0,0,25,75,0,0,0,0,50,50,0,0,0,25,0,50,25,100,0
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI19,14,7,100.0%,100.0%,1.07,B+(3.50),N/A,71,14,14,0,0,0,0,0,0,0,14,86,14,14,0,0,0,71,0,0,0,14,43,43,0,71,29,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,43,57,0,0,0,29,14,29,29,0,0,29,29,43,0,86,0,0,0,14,0,0,0,14,14,43,29,100,0,0,0,0,0,100,0,0,0,0,14,86,0,0,0,0,29,71,0,0,0,0,14,86,0,0,0,0,14,86,0,29,29,0,0,0,43,0,0,14,29,43,14,0,0,14,29,57,0,0,0,0,29,29,43,0,0,0,29,71,0,0,0,14,29,57,0,0,0,14,29,43,14,100,0
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(C),WI19,15,5,100.0%,100.0%,0.50,N/A,N/A,20,40,40,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,20,40,20,20,0,100,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,20,40,40,0,0,0,0,80,0,20,25,0,0,0,0,75,60,0,0,0,0,40,25,0,0,0,0,75,100,0,0,0,0,40,60,0,0,0,0,60,40,0,0,0,0,60,40,0,0,0,0,40,60,0,0,0,20,60,20,0,0,25,25,0,0,50,0,0,0,50,50,0,0,0,0,20,60,20,0,20,0,20,0,60,0,40,20,40,0,0,0,0,0,20,60,20,0,0,0,60,40,0,100,0
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),WI19,15,7,100.0%,100.0%,0.50,A(4.00),N/A,57,43,0,0,0,0,0,0,0,0,14,86,14,0,0,0,0,86,0,0,0,0,43,57,0,100,0,0,0,0,0,0,0,0,0,0,0,43,57,0,0,14,29,57,0,0,0,29,0,0,71,0,0,0,0,0,100,57,14,14,0,0,14,0,0,0,0,0,100,100,0,0,0,0,43,57,0,0,0,14,43,43,0,0,0,0,43,57,0,0,0,0,57,43,0,0,0,0,43,57,0,0,29,0,0,0,71,0,0,0,29,71,0,0,0,0,29,71,0,0,0,0,29,43,29,0,0,0,43,57,0,0,0,0,29,57,14,0,0,0,33,67,0,100,0
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA18,19,8,100.0%,100.0%,0.50,B(3.00),N/A,88,0,0,12,0,0,0,0,0,0,0,100,0,17,0,0,0,83,0,33,0,0,33,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,33,0,0,17,50,0,0,0,33,0,33,33,17,0,0,50,33,0,33,50,0,0,0,17,0,0,17,17,0,67,100,0,20,0,0,0,80,0,20,0,0,20,60,0,20,0,0,40,40,0,25,0,0,0,75,0,20,0,0,0,80,0,20,0,20,40,0,20,20,0,20,40,20,0,20,0,0,20,60,0,20,0,60,0,0,20,20,0,0,20,60,0,20,0,20,0,60,0,25,0,0,25,50,0,100,0
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),FA18,19,11,90.0%,100.0%,0.50,A(4.00),N/A,91,9,0,0,0,0,0,0,0,0,20,80,40,0,0,0,0,60,0,0,0,20,40,40,0,100,0,0,0,0,0,0,0,0,0,0,0,10,90,0,10,0,60,30,0,0,10,10,60,0,20,10,0,30,30,30,0,60,30,0,0,0,10,0,0,10,30,20,40,90,10,0,0,0,30,70,0,0,0,0,40,60,0,0,10,0,30,60,0,0,0,10,30,50,10,0,0,0,20,60,20,20,10,20,20,0,30,0,0,20,40,30,10,0,0,0,60,30,10,0,0,30,50,0,20,0,0,0,50,50,0,0,0,10,30,40,20,0,0,10,50,40,0,100,0
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(C),FA18,20,9,87.5%,87.5%,0.75,A(4.00),N/A,100,0,0,0,0,0,0,0,0,0,12,88,62,0,0,0,0,38,0,12,0,12,62,12,0,88,12,0,0,0,0,0,0,0,0,0,0,38,62,0,12,0,25,62,0,0,12,25,12,50,0,14,14,0,14,14,43,62,25,0,0,12,0,0,0,12,12,12,62,88,12,0,0,29,14,43,14,12,25,0,25,38,0,0,14,0,43,43,0,0,14,0,29,57,0,14,0,0,29,43,14,14,14,14,0,29,29,14,0,0,43,29,14,12,0,0,38,38,12,0,0,29,14,29,29,25,12,0,25,38,0,0,14,0,29,29,29,0,0,0,43,29,29,88,12
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),FA18,19,10,100.0%,100.0%,0.50,A(4.00),N/A,80,20,0,0,0,0,0,0,0,0,20,80,30,0,0,0,0,70,0,0,20,30,10,20,20,100,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,22,44,22,11,0,0,11,11,11,67,0,0,10,0,0,90,70,0,0,0,0,30,0,0,10,0,0,90,100,0,0,0,11,33,44,11,0,11,0,44,33,11,0,0,11,33,56,0,0,0,11,44,44,0,0,0,11,11,44,33,0,0,10,0,10,80,0,0,0,20,50,30,0,0,0,22,56,22,0,0,11,11,44,33,0,0,10,30,60,0,0,0,11,11,22,56,0,0,0,20,40,40,100,0
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(E),FA18,10,5,100.0%,100.0%,0.50,A(4.00),N/A,80,20,0,0,0,0,0,0,0,0,50,50,50,0,0,0,0,50,0,0,25,25,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,0,33,33,33,0,0,0,0,100,0,0,0,0,50,0,0,0,50,100,0,0,0,0,0,0,50,0,0,0,50,100,0,0,0,0,100,0,0,0,0,50,50,0,0,0,0,0,0,100,0,0,0,0,50,50,0,0,0,50,0,0,50,0,0,50,0,0,50,0,0,0,100,0,0,0,0,0,50,50,0,0,0,50,50,0,0,0,0,0,0,100,0,0,0,0,50,0,50,0,0,0,50,50,0,100,0
