Title,CTO Name
COORD FLD WK-FY,INSTRUCTIONAL ASSISTANT
COORD FLD WK-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
COORD OF PUB PROG I NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG II NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG III NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG IV NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG V NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VI NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VII NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VIII NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG I NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG II NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG III NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG IV NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG V NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VI NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VII NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VIII NEX,MISCELLANEOUS TITLES-SERIES
COORD PUB PROG NON REP,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG I,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG II,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG III,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG IV,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG V,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VI,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VII,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VIII,MISCELLANEOUS TITLES-SERIES
COURSE AUTHOR-UNEX,UNIVERSITY EXTENSION-OTHER
COURSE AUTHOR-UNEX NEX,UNIVERSITY EXTENSION-OTHER
CURATOR,MISCELLANEOUS TITLES-SERIES
DEAN,DEAN
DEAN-EXTENDED LEARNING,DEAN
DEMO TEACHER,MISCELLANEOUS TITLES-SINGLE TITLES
DEMO TEACHER-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
DEPARTMENT CHAIR,DEPARTMENT CHAIRPERSON
DEPARTMENT VICE CHAIR,DEPARTMENT CHAIRPERSON
DIRECTOR,DIRECTOR
DIRECTOR-EAP STUDY CENTER,MISCELLANEOUS TITLES-SERIES
DIVISIONAL DEAN,DIVISIONAL DEAN
EAP-TEMP FACULTY HOUSING ALLOW,SUPPLEMENTAL PAY CODES
EDUCATOR (WOS),MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADMIN TRANSITION LV-AY,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADMIN TRANSITION LV-FY,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADVISOR,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO PROVOST/DEAN,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY CONSULTANT,MISCELLANEOUS TITLES-SERIES
FACULTY FELLOW RES-AY,POST-GRADUATE RESEARCH-NON-STUDENT
FACULTY FELLOW RES-AY-1/9,POST-GRADUATE RESEARCH-NON-STUDENT
FACULTY RECRUITMENT ALLOW,SUPPLEMENTAL PAY CODES
FLD PROG SUPV,MISCELLANEOUS TITLES-SERIES
FLD WK CONSULT-AY,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-FY,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-AY,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-FY,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
GRADUATE ADVISOR,MISCELLANEOUS TITLES-SINGLE TITLES
GSAR-GSHIP,GRADUATE STUDENT RESEARCHER
GSAR-NON GSHIP,GRADUATE STUDENT RESEARCHER
GSR-FULL FEE REM,GRADUATE STUDENT RESEARCHER
GSR-FULL TUIT&PARTIAL FEE REM,GRADUATE STUDENT RESEARCHER
GSR-NO REM,GRADUATE STUDENT RESEARCHER
GSR-PARTIAL FEE REM,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP B,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP C,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP D,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP E,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP F,GRADUATE STUDENT RESEARCHER
GSR-TUIT & FEE REM-UCSD-GRP G,GRADUATE STUDENT RESEARCHER
HHMI INVESTIGATOR,MISCELLANEOUS TITLES-SINGLE TITLES
HS ASSOC CLIN PROF-AY,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASSOC CLIN PROF-FY,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASSOC CLIN PROF-HCOMP,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASSOC CLIN PROF-SFT-VM,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASST CLIN PROF-AY,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASST CLIN PROF-FY,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASST CLIN PROF-HCOMP,HEALTH SCIENCES CLINICAL PROFESSOR
HS ASST CLIN PROF-SFT-VM,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN INSTR-AY,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN INSTR-FY,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN INSTR-HCOMP,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN INSTR-SFT-VM,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN PROF-AY,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN PROF-FY,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN PROF-HCOMP,HEALTH SCIENCES CLINICAL PROFESSOR
HS CLIN PROF-SFT-VM,HEALTH SCIENCES CLINICAL PROFESSOR
INSTR IN RES-HCOMP,PROFESSOR IN RESIDENCE
INSTR-AY-1/9,PROFESSORIAL-NON-TENURE
INSTR-HCOMP,PROFESSORIAL-NON-TENURE
INSTR-SFT-VM,PROFESSORIAL-NON-TENURE
INTERN-CLIN PSYCH-GENL CAMP,MISCELLANEOUS TITLES-SINGLE TITLES
INTERN-CLINICAL PSYCHOLOGY,INTERN OR RESIDENT
INTERN-VET MED/NON REP,INTERN OR RESIDENT
INTRM POSTDOC SCHOLAR-EMPLOYEE,POSTDOCTORAL SCHOLAR
JR SPECIALIST,SPECIALIST
JR SPECIALIST (WOS),SPECIALIST
JR SPECIALIST NEX,SPECIALIST
JR SPECIALIST NEX NON REP,SPECIALIST
JR SPECIALIST NON REP,SPECIALIST
K-12 INSTRUCTOR-AY,MISCELLANEOUS TITLES-SINGLE TITLES
K-12 INSTRUCTOR-AY-1/10,MISCELLANEOUS TITLES-SINGLE TITLES
LAW LIBRARIAN,ASSOC & ASST UNIVERSITY LIBRARIAN
LAW LIBRARIAN NEX,ASSOC & ASST UNIVERSITY LIBRARIAN
LECT IN SUMMER SESSION,INSTRUCTIONAL ASSISTANT
LECT PSOE-AY,LECTURER-PSOE-SENATE
LECT PSOE-AY-1/9,LECTURER-PSOE-SENATE
LECT PSOE-AY-B/E/E,LECTURER-PSOE-SENATE
LECT PSOE-AY-LAW,LECTURER-PSOE-SENATE
LECT PSOE-FY,LECTURER-PSOE-SENATE
LECT PSOE-FY-B/E/E,LECTURER-PSOE-SENATE
LECT PSOE-HCOMP,LECTURER-PSOE-SENATE
LECT PSOE-SFT-VM,LECTURER-PSOE-SENATE
LECT SOE-AY,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-AY-1/9,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-AY-B/E/E,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-EMERITUS(WOS),LECTURER-SOE-EMERITUS
LECT SOE-FY,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-FY-B/E/E,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-HCOMP,LECTURER-SECURITY OF EMPLOYMENT
LECT SOE-SFT-VM,LECTURER-SECURITY OF EMPLOYMENT
LECT-AY,LECTURER
LECT-AY-1/10,LECTURER
LECT-AY-1/10-CONTINUING,LECTURER
LECT-AY-1/9,LECTURER
LECT-AY-1/9-CONTINUING,LECTURER
LECT-AY-CONTINUING,LECTURER
LECT-FY,LECTURER
LECT-FY-CONTINUING,LECTURER
LECT-MISCELLANEOUS/PART TIME,MISCELLANEOUS TITLES-SINGLE TITLES
LIBRARIAN-CAREER STATUS,LIBRARIAN
LIBRARIAN-CAREER STATUS NEX,LIBRARIAN
LIBRARIAN-POTNTL CAREER NEX,LIBRARIAN
LIBRARIAN-POTNTL CAREER STATUS,LIBRARIAN
LIBRARIAN-TEMP STATUS,LIBRARIAN
LIBRARIAN-TEMP STATUS NEX,LIBRARIAN
LUDWIG INVESTIGATOR,MISCELLANEOUS TITLES-SINGLE TITLES
MILITARY/AIR SCI&TACTICS ASST,MISCELLANEOUS TITLES-SINGLE TITLES
MISCELLANEOUS,MISCELLANEOUS TITLES-SINGLE TITLES
NON-PHYS CLIN TRAIN,INTERN OR RESIDENT
NON-PHYS CLIN TRAIN-GENL CAMP,MISCELLANEOUS TITLES-SINGLE TITLES
NON-SENATE ACAD EMERITUS(WOS),MISCELLANEOUS TITLES-SINGLE TITLES
NURSERY SCHOOL ASST-GSHIP,TEACHING ASSISTANT & EQUIVALENT
NURSERY SCHOOL ASST-NON GSHIP,TEACHING ASSISTANT & EQUIVALENT
OMBUDSMAN-ACAD,MISCELLANEOUS TITLES-SINGLE TITLES
OTH POST DDS/NON REP,INTERN OR RESIDENT
OTH POST-MD TRAIN 2-8/NON REP,INTERN OR RESIDENT
OTH POST-MD TRAIN 2-8/REP,INTERN OR RESIDENT
OTH POST-MD TRAIN 2-8/REP-OV,INTERN OR RESIDENT
PGY I PHARMACY RESID/NON REP,INTERN OR RESIDENT
PGY II PHARMACY RESID/NON REP,INTERN OR RESIDENT
POST DDS I-VI/NON REP,INTERN OR RESIDENT
POSTDOC-EMPLOYEE,POSTDOCTORAL SCHOLAR
POSTDOC-EMPLOYEE NEX,POSTDOCTORAL SCHOLAR
POSTDOC-FELLOW,POSTDOCTORAL SCHOLAR
POSTDOC-PAID DIRECT,POSTDOCTORAL SCHOLAR
PROF EMERITUS(WOS),PROFESSORIAL-EMERITUS
PROF IN RES-AY,PROFESSOR IN RESIDENCE
PROF IN RES-AY-1/10-B/E/E,PROFESSOR IN RESIDENCE
PROF IN RES-AY-1/9,PROFESSOR IN RESIDENCE
PROF IN RES-AY-1/9-B/E/E,PROFESSOR IN RESIDENCE
PROF IN RES-AY-B/E/E,PROFESSOR IN RESIDENCE
PROF IN RES-FY,PROFESSOR IN RESIDENCE
PROF IN RES-FY-B/E/E,PROFESSOR IN RESIDENCE
PROF IN RES-HCOMP,PROFESSOR IN RESIDENCE
PROF IN RES-SFT-VM,PROFESSOR IN RESIDENCE
PROF OF CLIN-FY,PROFESSOR OF CLINICAL __________
PROF OF CLIN-HCOMP,PROFESSOR OF CLINICAL __________
PROF OF CLIN-SFT-VM,PROFESSOR OF CLINICAL __________
PROF-10 MONTHS,PROFESSORIAL-TENURE
PROF-AY,PROFESSORIAL-TENURE
PROF-AY-1/9,PROFESSORIAL-TENURE
RES ASSOC(WOS),OTHER RESEARCH
RES FELLOW (WOS),OTHER RESEARCH
RES PROF-MILLER INST-AY,OTHER RESEARCH
RES PROF-MILLER INST-FY,OTHER RESEARCH
RES SCRIPPS-AY,PROFESSIONAL RESEARCH-REGULAR
RES-FY,PROFESSIONAL RESEARCH-REGULAR
RES-FY NEX,PROFESSIONAL RESEARCH-REGULAR
RES-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
RES-FY-B/E/E NEX,PROFESSIONAL RESEARCH-REGULAR
RES-FY-B/E/E-NON REP,PROFESSIONAL RESEARCH-REGULAR
RES-FY-NON REP,PROFESSIONAL RESEARCH-REGULAR
RESID PHYS I/NON REP,INTERN OR RESIDENT
RESID PHYS I/REP,INTERN OR RESIDENT
RESID PHYS I/REP-OV,INTERN OR RESIDENT
RESID PHYS II-VIII/NON REP,INTERN OR RESIDENT
RESID PHYS II-VIII/REP,INTERN OR RESIDENT
RESID PHYS II-VIII/REP-OV,INTERN OR RESIDENT
RESID PHYS/SUBSPEC 4-8/NON REP,INTERN OR RESIDENT
,
RESID PHYS/SUBSPEC 4-8/REP,INTERN OR RESIDENT
RESID PHYS/SUBSPEC 4-8/REP-OV,INTERN OR RESIDENT
RESID-VET MED/NON REP,INTERN OR RESIDENT
RES-LR SCL-AY,PROFESSIONAL RESEARCH-REGULAR
RES-LR SCL-AY-1/9,PROFESSIONAL RESEARCH-REGULAR
RES-LR SCL-AY-1/9-B/E/E,PROFESSIONAL RESEARCH-REGULAR
RES-LR SCL-AY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
RES-LR SCL-FY,PROFESSIONAL RESEARCH-REGULAR
RES-LR SCL-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
RES-SFT,PROFESSIONAL RESEARCH-REGULAR
RES-SFT NEX,PROFESSIONAL RESEARCH-REGULAR
SALARY SUPPLEMENTATION,SUPPLEMENTAL PAY CODES
SENATE EMERITUS (WOS),________-SENATE-EMERITUS
SPEAKER-UNEX,UNIVERSITY EXTENSION-OTHER
SPECIAL READER-UCLA-GSHIP,OTHER STUDENT TITLES
SPECIAL READER-UCLA-NON GSHIP,OTHER STUDENT TITLES
SPECIALIST,SPECIALIST
SPECIALIST (WOS),SPECIALIST
SPECIALIST AES,SPECIALIST IN A.E.S.
SPECIALIST AES NEX,SPECIALIST IN A.E.S.
SPECIALIST COOP EXT,SPECIALIST IN COOPERATIVE EXTENSION
SPECIALIST COOP EXT NEX,SPECIALIST IN COOPERATIVE EXTENSION
SPECIALIST NEX,SPECIALIST
SPECIALIST NEX NON REP,SPECIALIST
SPECIALIST NON REP,SPECIALIST
SR LECT SOE-AY,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-AY-1/9,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-AY-B/E/E,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-AY-LAW,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-EMERITUS (WOS),LECTURER-SOE-EMERITUS
SR LECT SOE-FY,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-FY-B/E/E,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-HCOMP,LECTURER-SECURITY OF EMPLOYMENT
SR LECT SOE-SFT-VM,LECTURER-SECURITY OF EMPLOYMENT
SR LECT-AY,LECTURER
SR LECT-AY-1/10,LECTURER
SR LECT-AY-1/10-CONTINUING,LECTURER
SR LECT-AY-1/9,LECTURER
SR LECT-AY-1/9-CONTINUING,LECTURER
SR LECT-AY-CONTINUING,LECTURER
SR LECT-FY,LECTURER
SR LECT-FY-CONTINUING,LECTURER
STIPEND-OTH POST-MD TRAIN,SUPPLEMENTAL PAY CODES
STIPEND-RESID,SUPPLEMENTAL PAY CODES
SUBSTITUTE TEACHER,MISCELLANEOUS TITLES-SINGLE TITLES
SUBSTITUTE TEACHER-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
SUMMER DIFFERENTIAL,SUPPLEMENTAL PAY CODES
SUPV PE-AY,SUPERVISOR OF P.E.-TENURE
SUPV TEACHER ED-AY,INSTRUCTIONAL ASSISTANT
SUPV TEACHER ED-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
SUPV TEACHER ED-FY,INSTRUCTIONAL ASSISTANT
SUPV TEACHER ED-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
TEACHER-LHS,MISCELLANEOUS TITLES-SINGLE TITLES
TEACHER-LHS-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
TEACHER-SPEC PROG,MISCELLANEOUS TITLES-SINGLE TITLES
TEACHER-SPEC PROG-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
TEACHER-UNEX,UNIVERSITY EXTENSION-OTHER
TEACHER-UNEX-CONTRACT YR,UNIVERSITY EXTENSION-OTHER
TEACHG ASST-1/10-GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG ASST-1/10-NON GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG ASST-GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG ASST-GSHIP/NON REP,TEACHING ASSISTANT & EQUIVALENT
TEACHG ASST-NON GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG ASST-NON GSHIP/NON REP,TEACHING ASSISTANT & EQUIVALENT
TEACHG FELLOW-GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG FELLOW-GSHIP/NON REP,TEACHING ASSISTANT & EQUIVALENT
TEACHG FELLOW-NON GSHIP,TEACHING ASSISTANT & EQUIVALENT
TEACHG FELLOW-NON GSHIP/NONREP,TEACHING ASSISTANT & EQUIVALENT
TUT-GSHIP,OTHER STUDENT TITLES
TUT-GSHIP/NON REP,OTHER STUDENT TITLES
TUT-NON GSHIP,OTHER STUDENT TITLES
TUT-NON GSHIP/NON REP,OTHER STUDENT TITLES
TUT-NON STDNT,MISCELLANEOUS TITLES-SINGLE TITLES
TUT-NON STDNT/NON REP,MISCELLANEOUS TITLES-SINGLE TITLES
UNIV PROF,PROFESSORIAL-TENURE
VICE PROVOST,PROVOST
VIS ASSOC PROF,VISITING PROFESSOR
VIS ASSOC PROF-HCOMP,VISITING PROFESSOR
VIS ASSOC PROJ SCIENTIST,PROJECT SERIES-VISITING
VIS ASSOC PROJ SCIENTIST NEX,PROJECT SERIES-VISITING
VIS ASSOC RES,PROFESSIONAL RESEARCH-VISITING
VIS ASSOC RES NEX,PROFESSIONAL RESEARCH-VISITING
VIS ASSOC SPECIALIST,SPECIALIST-VISITING
VIS ASSOC SPECIALIST NEX,SPECIALIST-VISITING
VIS ASST PROF,VISITING PROFESSOR
VIS ASST PROF-HCOMP,VISITING PROFESSOR
VIS ASST PROJ SCIENTIST,PROJECT SERIES-VISITING
VIS ASST PROJ SCIENTIST NEX,PROJECT SERIES-VISITING
VIS ASST RES,PROFESSIONAL RESEARCH-VISITING
VIS ASST RES NEX,PROFESSIONAL RESEARCH-VISITING
VIS ASST SPECIALIST,SPECIALIST-VISITING
VIS ASST SPECIALIST NEX,SPECIALIST-VISITING
VIS JR SPECIALIST,SPECIALIST-VISITING
VIS JR SPECIALIST NEX,SPECIALIST-VISITING
VIS LIBRARIAN,VISITING LIBRARIAN
VIS LIBRARIAN NEX,VISITING LIBRARIAN
VIS PROF,VISITING PROFESSOR
VIS PROF-HCOMP,VISITING PROFESSOR
VIS PROJ SCIENTIST,PROJECT SERIES-VISITING
VIS PROJ SCIENTIST NEX,PROJECT SERIES-VISITING
VIS RES,PROFESSIONAL RESEARCH-VISITING
VIS RES NEX,PROFESSIONAL RESEARCH-VISITING
VIS SCHOLAR (WOS),MISCELLANEOUS TITLES-SINGLE TITLES
VIS SPECIALIST,SPECIALIST-VISITING
VIS SPECIALIST NEX,SPECIALIST-VISITING
VISITOR-GRADUATE (WOS),MISCELLANEOUS TITLES-SINGLE TITLES
VISITOR-UNDERGRADUATE (WOS),MISCELLANEOUS TITLES-SINGLE TITLES
PROF-AY-1/9-B/E/E,PROFESSORIAL-TENURE
PROF-AY-1/9-LAW,PROFESSORIAL-TENURE
PROF-AY-B/E/E,PROFESSORIAL-TENURE
PROF-AY-LAW,PROFESSORIAL-TENURE
PROF-FY,PROFESSORIAL-TENURE
PROF-FY-B/E/E,PROFESSORIAL-TENURE
PROF-HCOMP,PROFESSORIAL-TENURE
PROF-SFT-VM,PROFESSORIAL-TENURE
PROG COORD,UNIVERSITY EXTENSION-OTHER
PROGRAM COORDINATOR NEX,UNIVERSITY EXTENSION-OTHER
PROJ SCIENTIST (WOS),PROJECT SERIES
PROJ SCIENTIST-FY,PROJECT SERIES
PROJ SCIENTIST-FY NEX,PROJECT SERIES
PROJ SCIENTIST-FY NON REP,PROJECT SERIES
PROJ SCIENTIST-FY-B/E/E,PROJECT SERIES
PROJ SCIENTIST-FY-B/E/E NEX,PROJECT SERIES
PROJ SCIENTIST-FY-B/E/E NONREP,PROJECT SERIES
READER-GSHIP,OTHER STUDENT TITLES
READER-GSHIP/NON REP,OTHER STUDENT TITLES
READER-NON GSHIP,OTHER STUDENT TITLES
READER-NON GSHIP/NON REP,OTHER STUDENT TITLES
READER-NON STDNT,MISCELLANEOUS TITLES-SINGLE TITLES
READER-NON STDNT/NON REP,MISCELLANEOUS TITLES-SINGLE TITLES
RECALL FACULTY,PROFESSORIAL-RECALL
RECALL HCOMP,PROFESSORIAL-RECALL
RECALL NON-FACULTY ACAD,MISCELLANEOUS TITLES-SINGLE TITLES
RECALL NON-FACULTY ACAD NEX,MISCELLANEOUS TITLES-SINGLE TITLES
RECALL TEACHING,PROFESSORIAL-RECALL
RECALL TEACHING NON-SENATE,PROFESSORIAL-RECALL
REGENTS' LECT,MISCELLANEOUS TITLES-SINGLE TITLES
REGENTS' PROF,MISCELLANEOUS TITLES-SINGLE TITLES
REMD TUT I-GSHIP,OTHER STUDENT TITLES
REMD TUT I-GSHIP/NON REP,OTHER STUDENT TITLES
REMD TUT II NON-GSHIP/NON REP,OTHER STUDENT TITLES
REMD TUT II-GSHIP,OTHER STUDENT TITLES
REMD TUT II-GSHIP/NON REP,OTHER STUDENT TITLES
REMD TUT II-NON GSHIP,OTHER STUDENT TITLES
REMD TUT I-NON GSHIP,OTHER STUDENT TITLES
REMD TUT I-NON GSHIP/NON REP,OTHER STUDENT TITLES
RES (WOS),PROFESSIONAL RESEARCH-REGULAR